od,tpep_pickup_datetime,PULocationID,DOLocationID,Ex
0,1,237,75,1
1,28,137,263,22
3,28,170,151,22
5,55,164,90,43
6,55,142,230,43
8,83,107,161,64
14,83,170,236,64
16,83,161,263,64
20,109,236,75,84
21,109,142,43,84
26,109,48,233,84
29,109,161,143,84
33,136,237,151,105
39,136,24,75,105
40,136,233,224,105
46,136,164,262,105
54,163,233,239,126
57,163,161,236,126
60,163,100,161,126
63,163,233,229,126
73,163,230,141,126
81,163,233,140,126
88,191,48,229,147
89,191,164,90,147
94,191,100,48,147
105,191,170,237,147
111,191,237,161,147
114,191,68,236,147
125,191,230,236,147
131,218,233,246,168
133,218,239,263,168
141,218,234,230,168
142,218,237,75,168
143,218,48,239,168
155,245,140,236,189
167,245,238,151,189
171,245,68,246,189
174,245,162,43,189
179,245,43,237,189
188,245,162,239,189
192,271,237,236,209
193,271,161,246,209
197,271,162,263,209
208,271,239,143,209
210,271,170,24,209
217,271,234,230,209
225,271,161,239,209
243,299,162,234,230
245,299,48,142,230
247,299,50,48,230
248,299,140,90,230
253,299,141,75,230
269,299,107,142,230
276,326,142,161,251
285,326,230,68,251
286,326,141,48,251
287,326,100,107,251
295,326,234,48,251
296,326,230,233,251
306,326,233,229,251
323,353,141,229,272
325,353,161,186,272
331,353,234,164,272
354,353,68,142,272
358,353,162,141,272
360,353,68,162,272
366,380,234,68,293
370,380,107,140,293
377,380,68,186,293
382,380,50,68,293
390,380,239,48,293
391,380,48,142,293
403,380,233,141,293
413,408,186,68,314
423,408,162,238,314
428,408,164,238,314
429,408,186,50,314
432,408,186,90,314
440,434,237,141,334
441,434,230,164,334
462,434,236,151,334
472,434,234,237,334
473,434,143,233,334
482,434,161,237,334
484,434,230,142,334
492,461,161,141,355
494,461,162,137,355
502,461,162,233,355
507,461,229,233,355
509,461,162,263,355
515,461,48,230,355
521,488,48,234,376
529,488,229,170,376
531,488,164,229,376
536,488,137,50,376
546,516,230,43,397
549,516,100,229,397
550,516,162,137,397
555,516,161,262,397
561,516,236,237,397
564,543,234,161,418
568,543,48,143,418
569,543,229,141,418
574,543,239,141,418
577,543,230,238,418
601,570,186,107,439
603,570,246,151,439
608,570,100,238,439
620,570,164,90,439
625,570,50,246,439
